lq,hq
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_011.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_011.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_013.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_013.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_018.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_018.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_034.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_034.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_040.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_040.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_043.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_043.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_045.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_045.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_051.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_051.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_054.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_054.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_058.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_058.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00001_洇00001_070.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00001_原00001_070.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_004.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_004.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_006.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_006.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_009.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_009.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_012.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_012.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_017.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_017.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_021.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_021.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_026.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_026.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_027.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_027.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_029.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_029.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_040.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_040.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_042.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_042.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_047.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_047.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_061.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_061.png
